City,IATA Code,Country,Resort,Ocean,River,Sea,Romantic,Romance,Couples,Caribbean,Relax,Tropics,Palm Tree,Sun,Swimming Pool,Water,Yellow,Beach,Trees,Coral Reef,Mountain,Amusement Park,Wildlife,Forest,City,Skyline,Building,Busy,Traffic,Car,Vehicle,Crowd,Festival,Basketball,Soccer,Stadium,Football,Baseball,Hockey,Hiking,Wetland,Meadow,Prairie,Ship,Cruise,Harbour,Island,Architecture,Warm,Desert,Bike,Cycling,Biking,Buffet,Eating,Food,Skiing,Chairlift,Snowbard,Ski,Hill,Snow,Cold,Winter,Ice,Path,Trail,Hiking,Hike,Walking,Backpacking,Exercise,Golf,Spa,Fair,Fishing,Horse,Sailing,Casino,Poker,Gambling,Alcohol,Drinking,Nightlife,Wilderness,Sky,Atmosphere,Nature,Animal,Plant,Rural,Quiet,Aurora,Glacier,Waterfall,Museum,Fun,Leisure,Friendly,Safe,Peace,Island,Adventure,Rock,Climbing,Mountaineer,Mountaineering,Mountain Climbing
Hyannis,HYA,USA,Cape Cod Resort & Conference Center,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kalmus Beach,Tropical,NULL,NULL,NULL,NULL,Mashpee National Wildlife Refuge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cape Cod Coast,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,New England,NULL,NULL,Both,Both,Both,Seafood,Seafood,Seafood,Cape Cod Ski Club ,Cape Cod Ski Club ,Cape Cod Ski Club ,Cape Cod Ski Club ,Cape Cod Ski Club ,Yes,Yes,Yes,Yes,Nauset Marsh ,Nauset Marsh ,Nauset Marsh ,Nauset Marsh ,Nauset Marsh ,Nauset Marsh ,Nauset Marsh ,,Cape Cod Resort & Conference Center,,Yes ,C J's Ranch,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,Cape Cod Museum of Art,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Washington DC,IAD,USA,NULL,Atlantic Ocean,Potomac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous ,NULL,NULL,Six Flags America,NULL,NULL,Washington DC,Washington,Washington,Washington,Washington,Washington,Washington,Yes,Sitting of Congress,Washington Wizards,DC United,NULL,Washington Redskins,Washington Nationals,Washington Capitals,Potomic River Hikes,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,"Colonial, Classical, Neoclassical, Embassy Lane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,,Gaylord National Resort,,NULL,NULL,NULL,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Smithsonian Museums,Cultural and Political Hub,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Lots to explore,NULL,NULL,NULL,NULL,NULL
Jacksonville,JAX,USA,Courtyard Jacksonville Beach Oceanfront,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Atlantic Beach,Tropical,NULL,NULL,Adventure Landing,NULL,Okefenokee National Wildlife Refuge,Jacksonville,Jacksonville ,Jacksonville ,Jacksonville ,Jacksonville ,Jacksonville ,Jacksonville ,NULL,NULL,NULL,NULL,EverBank Field,Jacksonville Jaguars,NULL,NULL,NULL,Home to marshes and bogs nearby,NULL,NULL,Carnival,Carnival,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,Road,Road,Road,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Big Talbot Island State Park,Big Talbot Island State Park,Big Talbot Island State Park,Big Talbot Island State Park,Big Talbot Island State Park,Big Talbot Island State Park,Big Talbot Island State Park,,Courtyard Jacksonville Beach Oceanfront,,Yes,Windemere Equestrian Center,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,Museum of Science and History,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New York City,JFK,USA,NULL,Atlantic Ocean,Hudson River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Victorian Gardens Amusement Park,NULL,NULL,New York City,NYC,NYC,NYC,NYC,NYC,NYC,Yes,United Nations Assembly,"Nets, Knicks","NYC FC, NY Bulls",Yankee Stadium,"New York Giant, Jets","NY Yankees, Mets","NY Islanders, Rangers",NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,"Art Deco, Modern, American Craftsman, Neoclassical",NULL,NULL,NULL,NULL,NULL,"Fine Dining, Jewish","Fine Dining, Jewish","Fine Dining, Jewish",NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Resorts World Casino NYC,,NULL,NULL,NULL,Resorts World Casino,Resorts World Casino,Resorts World Casino,Resorts World Casino,Resorts World Casino,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MOMA,Cultural and Economic Hub,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Big city to explore,NULL,NULL,NULL,NULL,NULL
Kingston,KIN,Jamaica,Eden Gardens,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Hellshire Beach,Tropical,NULL,Blue Mountains,NULL,Blue Mountains,Blue Mountains,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Yes,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,Caribbean,Caribbean,Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,,Eden Gardens,,Yes,Braco Stables,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Cane River Falls,NULL,Rainforest Activities,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Las Vegas,LAS,USA,The Venetian,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Desert,NULL,Spring Mountain Range,Stratosphere,NULL,NULL,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Yes,MGM Shows & Events,NULL,NULL,Sam Boyd Stadium,NULL,NULL,Las Vegas Golden Knights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vegas,Warm place for the winter,In the middle of a desert,NULL,NULL,NULL,Casino Food,Casino Food,Casino Food,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,The Venetian,,NULL,Cowboy Trail Rides,NULL,MGM Grand,MGM Grand,MGM Grand,MGM Grand,MGM Grand,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Madame Toussoud's,Sin City,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Big city to explore,"Dry, desert rock",NULL,NULL,NULL,NULL
Los Angeles,LAX,USA,Terranea,Pacific Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Venice Beach,Desert,NULL,Hollywood Foothills,Disneyland,Channel Islands,Angeles National Forest,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Yes,LA Auto Show,"Lakers, Clippers",LA Galaxy,Los Angelse Memorial Coliseum,"LA Rams, Chargers","LA Dodgers, Angels","LA Kings, Ducks",Solstice Canyon,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,"Modern, Art Deco, Pacific",Warm place for the winter,In the middle of a desert,Yoad,Yoad,Yoad,Fusion,Fusion,Fusion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Runyon Canyon,Runyon Canyon,Runyon Canyon,Runyon Canyon,Runyon Canyon,Runyon Canyon,Runyon Canyon,,Terranea,,Yes,Los Angeles Horseback Riding,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chinese Theatre,It's LA!,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Big city to explore,"Dry, desert rock",Mt Whitney,Mt Whitney,Mt Whitney,Mt Whitney
New York City,LGA,USA,NULL,Atlantic Ocean,Hudson River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Victorian Gardens Amusement Park,NULL,NULL,New York City,NYC,NYC,NYC,NYC,NYC,NYC,Yes,United Nations Assembly,"Nets, Knicks","NYC FC, NY Bulls",Yankee Stadium,"New York Giant, Jets","NY Yankees, Mets","NY Islanders, Rangers",NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,NULL,NULL,"Art Deco, Modern, American Craftsman, Neoclassical",NULL,NULL,NULL,NULL,NULL,"Fine Dining, Jewish","Fine Dining, Jewish","Fine Dining, Jewish",NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Resorts World Casino NYC,,NULL,NULL,NULL,Resorts World Casino,Resorts World Casino,Resorts World Casino,Resorts World Casino,Resorts World Casino,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MOMA,Cultural and Economic Hub,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Big city to explore,NULL,NULL,NULL,NULL,NULL
Long Beach,LGB,USA,Long Beach Resort,Pacific Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Venice Beach,Desert,NULL,Hollywood Foothills,Disneyland,Channel Islands,Angeles National Forest,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lakers, Clippers",LA Galaxy,Los Angelse Memorial Coliseum,LA Chargers,"LA Dodgers, Angels","LA Kings, Ducks",Dominquez Gap Wetlands,NULL,NULL,NULL,Carnival,Carnival,Great harbor for activities and water transport,NULL,"Modern, Pacific",Warm place for the winter,In the middle of a desert,Road,Road,Road,"Seafood, Fusion","Seafood, Fusion","Seafood, Fusion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dominguez Gap Wetlands,Dominguez Gap Wetlands,Dominguez Gap Wetlands,Dominguez Gap Wetlands,Dominguez Gap Wetlands,Dominguez Gap Wetlands,Dominguez Gap Wetlands,,Long Beach Resort,,Yes,Los Angeles Horseback Riding,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chinese Theatre,Food and Shopping,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,Mt Whitney,Mt Whitney,Mt Whitney,Mt Whitney
Lima,LIM,Peru,El Pueblo Resort & Convention Center,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,"Tropical, Altitude",NULL,Ausangate,NULL,Desert,NULL,Lima,Lima,Lima,Lima,Lima,Lima,Lima,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Macchu Picchu,NULL,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,Fine Dining,Fine Dining,Fine Dining,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Inca Trail,Inca Trail,Inca Trail,Inca Trail,Inca Trail,Inca Trail,Inca Trail,,El Pueblo Resort & Convention Center,,NULL,Peruvian Paso,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Pala Kala Waterfall,Larco Museum,Adventure,NULL,NULL,NULL,NULL,NULL,"Mountains, jungle, and exploration",Exposed rock,Huascaran,Huascaran,Huascaran,Huascaran
Liberia,LIR,Costa Rica,Four Seasons Resort at Peninsula Papagayo,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Jaco,Tropical,Yes,Cerro Chirripo,NULL,Rainforest,Parque Nacional Rincon de la Vieja,San Jose,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Costa Rican Rainforest,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Monteverde,Monteverde,Monteverde,Monteverde,Monteverde,Monteverde,Monteverde,,Four Seasons Resort at Peninsula Papagayo,,Yes,Eladio's Place,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Rio Celeste Waterfall,Museo del Jade Marco Fidel Tristan,Adventure,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,"Mountains, jungle, and exploration",NULL,NULL,NULL,NULL,NULL
La Romana,LRM,Dominican Republic,Dreams La Romana,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Catalina Island,Tropical,Yes,Pico Duarte,NULL,Rainforest,Parque Nacional Del Este,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Isabel de Torres Trail,NULL,NULL,NULL,NULL,NULL,Yes ,Hispaniola,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tanama Jungle Ranch,Tanama Jungle Ranch,Tanama Jungle Ranch,Tanama Jungle Ranch,Tanama Jungle Ranch,Tanama Jungle Ranch,Tanama Jungle Ranch,,Dreams La Romana,,Yes,Casa de Campo Horseback Riding,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,27 Charcos,Museum of the Royal Houses,Relaxing,NULL,NULL,NULL,NULL,Hispaniola,NULL,NULL,NULL,NULL,NULL,NULL
Montego Bay,MBJ,Jamaica,Sunscape Splash Montego Bay,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Deadd End Beach,Tropical,Yes,Blue Mountains,NULL,Blue Mountains,Cockpit Country,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dunn's River Falls,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Yes ,Jamaica,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,Blue Mountain Peak Trail,,Sunscape Splash Montego Bay,,,Chukka Horseback Ride N' Swim,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Cane River Falls,NULL,Water Sports,NULL,NULL,NULL,NULL,Jamaica,NULL,NULL,NULL,NULL,NULL,NULL
Orlando,MCO,USA,Loews Royal Pacific Resort,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Tropical,NULL,NULL,Disney World,Everglades National Park,NULL,Orlando,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Orlando Magic,Orlando FC,Camping World Stadium,NULL,NULL,NULL,Everglades National Park,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Warm place for the winter,NULL,Road,Road,Road,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Loews Royal Pacific Resort,,NULL,Freedom Ride Inc,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,Kennedy Space Center,Entertainment,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Medellin,MDE,Colombia,Hotel Du Parc Royal,NULL,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Tropical,NULL,Medellin Mountains,NULL,Amazon Rainforest ,Parque Nacional Natural Utria,Medellin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Samana River,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Arenales,Arenales,Arenales,Arenales,Arenales,Arenales,Arenales,,Hotel Du Parc Royal,,NULL,LandVenture Travel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,La Chorrera Waterfall,NULL,Adventure,NULL,NULL,NULL,NULL,NULL,"Mountains, jungle, and exploration",Exposed rock,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz
Mexico City,MEX,Mexico,Four Seasons Hotel Mexico City,NULL,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,"Tropical, Desert",NULL,Popocatepetl,Six Flags Mexico,Rainforest,NULL,Mexico City,Mexico City,Mexico City,Mexico City,Mexico City,Mexico City,Mexico City,Yes,Day of the Dead,NULL,NULL,NULL,NULL,NULL,NULL,Tepozteco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Modern, Spanish Colonial",Warm place for the winter,In the middle of a desert,Mtn,Mtn,Mtn,Mexican,Mexican,Mexican,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Tepozteco,Tepozteco,Tepozteco,Tepozteco,Tepozteco,Tepozteco,Tepozteco,,Four Seasons Hotel Mexico City,,NULL,Rancho Las Cascadas Riding Tours,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,Pico de Orizaba,NULL,Museo Sournaya,Adventure,NULL,NULL,NULL,NULL,NULL,Big city to explore,Exposed rock,Pico de Orizaba,Pico de Orizaba,Pico de Orizaba,Pico de Orizaba
New Orleans,MSY,USA,Avenue Plaza Resort,Atlantic Ocean,Mississippi River,Gulf of Mexico,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Holly Beach,Tropical,NULL,NULL,NULL,Mississippi Delta,Bayou Chene,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,Yes,Mardi Gras,New Orleans Pelicans,NULL,Mercedes Benz Superdome,New Orleans Saints,NULL,NULL,Mississippi Delta,Home to marshes and bogs nearby,NULL,NULL,Carnival,Carnival,Yes,NULL,"Cajun Southern, Georgian, Colonial",Warm place for the winter,NULL,NULL,NULL,NULL,"Seafood, Cajun/Creole","Seafood, Cajun/Creole","Seafood, Cajun/Creole",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,Jean Lafitte National Park Barataria Trail,,Avenue Plaza Resort,,Yes,Equest Farm,NULL,Harrah's Casino New Orleans,Harrah's Casino New Orleans,Harrah's Casino New Orleans,Harrah's Casino New Orleans,Harrah's Casino New Orleans,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,New Orleans Museum of Art,New Orleans Culture,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Cultural and food adventure,NULL,NULL,NULL,NULL,NULL
Martha's Vineyard,MVY,USA,Winnetu Oceanside Resort,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aquinnah,Deciduous,NULL,NULL,NULL,NULL,Manuel Correllus State Forest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cape Cod Coast,NULL,NULL,NULL,NULL,NULL,Yes,NULL,"New England, American Craftsman",NULL,NULL,NULL,NULL,NULL,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Great Rock Bight Preseve,Great Rock Bight Preseve,Great Rock Bight Preseve,Great Rock Bight Preseve,Great Rock Bight Preseve,Great Rock Bight Preseve,Great Rock Bight Preseve,,Winnetu Oceanside Resort,,Yes,Arrowhead Farm,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,Cape Cod Museum of Art,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Martha's Vineyard,NULL,NULL,NULL,NULL,NULL,NULL
Nassau,NAS,Bahamas,Atlantis,Atlantic Ocean,NULL,Sargasso Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Cable Beach,Tropical,Yes ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Yes,NULL,Italianate,Warm place for the winter,NULL,NULL,NULL,NULL,Caribbean,Caribbean,Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Atlantis,,Yes,Happy Trails Stables ,Yes,Atlanntis Paradise Islan,Atlanntis Paradise Islan,Atlanntis Paradise Islan,Atlanntis Paradise Islan,Atlanntis Paradise Islan,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Water Sports,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oakland,OAK,USA,NULL,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,California's Great America ,NULL,NULL,Oakland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oakland-Alameda County Coliseum,Oakland Raiders,Oakland Athletics,NULL,Leona Canyon,NULL,Meadows just outside the city,NULL,NULL,NULL,Yes,NULL,Modern,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sequoia Bayview Trail,Sequoia Bayview Trail,Sequoia Bayview Trail,Sequoia Bayview Trail,Sequoia Bayview Trail,Sequoia Bayview Trail,Sequoia Bayview Trail,,Rockridge Day Spa,,NULL,Kenilworth Stables,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cataract Falls,San Francisco Museum of Modern Art,Education and Political Center,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
